head	relation	tail
APT33	USES	T1480
DarkHydrus	USES	T1193
DarkHydrus	USES	T1086
DarkHydrus	USES	T1204
DarkHydrus	USES	T1221
DarkHydrus	USES	T1187
Night Dragon	USES	T1078
Night Dragon	USES	T1192
Night Dragon	USES	T1133
Night Dragon	USES	T1190
Night Dragon	USES	T1075
Night Dragon	USES	T1351
Night Dragon	USES	T1330
Night Dragon	USES	T1307
Night Dragon	USES	T1003
Night Dragon	USES	T1071
Night Dragon	USES	T1043
Night Dragon	USES	T1204
Night Dragon	USES	T1027
Night Dragon	USES	T1045
Night Dragon	USES	T1074
Night Dragon	USES	T1219
Night Dragon	USES	T1089
APT29	USES	T1192
APT29	USES	T1193
APT29	USES	T1097
APT29	USES	T1064
APT29	USES	T1043
APT29	USES	T1085
APT29	USES	T1060
APT29	USES	T1086
APT29	USES	T1204
APT29	USES	T1027
APT29	USES	T1053
APT29	USES	T1095
APT29	USES	T1203
APT29	USES	T1070
APT29	USES	T1172
APT29	USES	T1015
APT29	USES	T1084
APT29	USES	T1088
APT29	USES	T1188
APT29	USES	T1047
APT29	USES	T1045
APT29	USES	T1023
admin@338	USES	T1087
admin@338	USES	T1059
admin@338	USES	T1007
admin@338	USES	T1036
admin@338	USES	T1016
admin@338	USES	T1049
admin@338	USES	T1082
admin@338	USES	T1083
admin@338	USES	T1069
APT3	USES	T1078
APT3	USES	T1077
APT3	USES	T1076
APT3	USES	T1105
APT3	USES	T1057
APT3	USES	T1087
APT3	USES	T1003
APT3	USES	T1059
APT3	USES	T1005
APT3	USES	T1064
APT3	USES	T1002
APT3	USES	T1016
APT3	USES	T1049
APT3	USES	T1073
APT3	USES	T1082
APT3	USES	T1043
APT3	USES	T1085
APT3	USES	T1060
APT3	USES	T1033
APT3	USES	T1086
APT3	USES	T1027
APT3	USES	T1083
APT3	USES	T1107
APT3	USES	T1053
APT3	USES	T1095
APT3	USES	T1015
APT3	USES	T1045
APT3	USES	T1090
APT3	USES	T1098
APT3	USES	T1104
APT3	USES	T1136
APT3	USES	T1018
APT3	USES	T1056
APT3	USES	T1074
APT3	USES	T1110
APT3	USES	T1081
APT3	USES	T1050
APT3	USES	T1069
APT3	USES	T1041
APT3	USES	T1065
APT3	USES	T1066
APT3	USES	T1108
APT3	USES	T1061
Ke3chang	USES	T1133
Ke3chang	USES	T1077
Ke3chang	USES	T1097
Ke3chang	USES	T1057
Ke3chang	USES	T1087
Ke3chang	USES	T1114
Ke3chang	USES	T1003
Ke3chang	USES	T1059
Ke3chang	USES	T1007
Ke3chang	USES	T1005
Ke3chang	USES	T1036
Ke3chang	USES	T1064
Ke3chang	USES	T1002
Ke3chang	USES	T1016
Ke3chang	USES	T1049
Ke3chang	USES	T1082
Ke3chang	USES	T1071
Ke3chang	USES	T1060
Ke3chang	USES	T1083
Ke3chang	USES	T1018
Ke3chang	USES	T1056
Ke3chang	USES	T1050
Ke3chang	USES	T1069
Ke3chang	USES	T1041
Ke3chang	USES	T1213
Ke3chang	USES	T1022
Ke3chang	USES	T1035
Axiom	USES	T1190
Axiom	USES	T1076
Axiom	USES	T1003
Axiom	USES	T1015
Axiom	USES	T1001
Leafminer	USES	T1189
Leafminer	USES	T1114
Leafminer	USES	T1003
Leafminer	USES	T1064
Leafminer	USES	T1027
Leafminer	USES	T1083
Leafminer	USES	T1136
Leafminer	USES	T1018
Leafminer	USES	T1110
Leafminer	USES	T1108
Leafminer	USES	T1046
Suckfly	USES	T1078
Suckfly	USES	T1003
Suckfly	USES	T1059
Suckfly	USES	T1116
Suckfly	USES	T1046
TA459	USES	T1193
TA459	USES	T1064
TA459	USES	T1086
TA459	USES	T1204
TA459	USES	T1203
BRONZE BUTLER	USES	T1193
BRONZE BUTLER	USES	T1189
BRONZE BUTLER	USES	T1105
BRONZE BUTLER	USES	T1097
BRONZE BUTLER	USES	T1087
BRONZE BUTLER	USES	T1003
BRONZE BUTLER	USES	T1059
BRONZE BUTLER	USES	T1005
BRONZE BUTLER	USES	T1036
BRONZE BUTLER	USES	T1064
BRONZE BUTLER	USES	T1002
BRONZE BUTLER	USES	T1071
BRONZE BUTLER	USES	T1132
BRONZE BUTLER	USES	T1060
BRONZE BUTLER	USES	T1140
BRONZE BUTLER	USES	T1086
BRONZE BUTLER	USES	T1204
BRONZE BUTLER	USES	T1083
BRONZE BUTLER	USES	T1107
BRONZE BUTLER	USES	T1053
BRONZE BUTLER	USES	T1203
BRONZE BUTLER	USES	T1088
BRONZE BUTLER	USES	T1018
BRONZE BUTLER	USES	T1113
BRONZE BUTLER	USES	T1022
BRONZE BUTLER	USES	T1102
BRONZE BUTLER	USES	T1124
BRONZE BUTLER	USES	T1032
BRONZE BUTLER	USES	T1039
BRONZE BUTLER	USES	T1009
BRONZE BUTLER	USES	T1024
Gamaredon Group	USES	T1105
Gamaredon Group	USES	T1064
